 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 8.325954E+01, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-2.562404734040227E+00  (ETA=-4.354080E+00)
 #      Matching radius: RAD(  299)= 1.192047681907280E-02
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   9.76039042E-03  3.72790874E-01 -1.04267010E-01
   9.80039202E-03  3.72994784E-01 -1.04472449E-01
   9.84039362E-03  3.73191418E-01 -1.04676591E-01
   9.88039522E-03  3.73380802E-01 -1.04879441E-01
   9.92039682E-03  3.73562964E-01 -1.05081003E-01
   9.96039842E-03  3.73737932E-01 -1.05281279E-01
   1.00004000E-02  3.73905733E-01 -1.05480274E-01
   1.00404016E-02  3.74066395E-01 -1.05677991E-01
   1.00804032E-02  3.74219944E-01 -1.05874433E-01
   1.01204048E-02  3.74366407E-01 -1.06069604E-01
   1.01604064E-02  3.74505813E-01 -1.06263508E-01
   1.02004080E-02  3.74638187E-01 -1.06456148E-01
   1.02404096E-02  3.74763557E-01 -1.06647527E-01
   1.02804112E-02  3.74881949E-01 -1.06837648E-01
   1.03204128E-02  3.74993390E-01 -1.07026517E-01
   1.03604144E-02  3.75097906E-01 -1.07214134E-01
   1.04004160E-02  3.75195524E-01 -1.07400506E-01
   1.04404176E-02  3.75286271E-01 -1.07585633E-01
   1.04804192E-02  3.75370172E-01 -1.07769521E-01
   1.05204208E-02  3.75447255E-01 -1.07952171E-01
   1.05604224E-02  3.75517544E-01 -1.08133589E-01
   1.06004240E-02  3.75581066E-01 -1.08313776E-01
   1.06404256E-02  3.75637847E-01 -1.08492737E-01
   1.06804272E-02  3.75687913E-01 -1.08670475E-01
   1.07204288E-02  3.75731290E-01 -1.08846993E-01
   1.07604304E-02  3.75768003E-01 -1.09022294E-01
   1.08004320E-02  3.75798079E-01 -1.09196381E-01
   1.08404336E-02  3.75821541E-01 -1.09369259E-01
   1.08804352E-02  3.75838417E-01 -1.09540930E-01
