 # Radial wave functions calculated by RADIAL.
 # **** Dirac equation. Numerical potential.
 #      Input potential file: custompot.in        
 #      Free state: E= 2.547518E+02, K=  -1  (EPS= 1.0E-15)
 #        Inner phase shift= 0.000000000000000E+00
 #      Coulomb phase shift=-3.074611872627431E-01  (ETA=-2.506100E+00)
 #      Matching radius: RAD(  139)= 5.520220808832400E-03
 #       R              P(R)            Q(R)
   0.00000000E+00  0.00000000E+00  0.00000000E+00
   1.33205328E-02  4.73267195E-01 -1.58600989E-01
   1.33605344E-02  4.72739718E-01 -1.58739982E-01
   1.34005360E-02  4.72205299E-01 -1.58877563E-01
   1.34405376E-02  4.71663968E-01 -1.59013735E-01
   1.34805392E-02  4.71115753E-01 -1.59148502E-01
   1.35205408E-02  4.70560684E-01 -1.59281868E-01
   1.35605424E-02  4.69998788E-01 -1.59413835E-01
   1.36005440E-02  4.69430094E-01 -1.59544408E-01
   1.36405456E-02  4.68854632E-01 -1.59673589E-01
   1.36805472E-02  4.68272429E-01 -1.59801382E-01
   1.37205488E-02  4.67683513E-01 -1.59927790E-01
   1.37605504E-02  4.67087914E-01 -1.60052817E-01
   1.38005520E-02  4.66485659E-01 -1.60176466E-01
   1.38405536E-02  4.65876777E-01 -1.60298740E-01
   1.38805552E-02  4.65261295E-01 -1.60419643E-01
   1.39205568E-02  4.64639242E-01 -1.60539179E-01
   1.39605584E-02  4.64010646E-01 -1.60657349E-01
   1.40005600E-02  4.63375535E-01 -1.60774159E-01
   1.40405616E-02  4.62733935E-01 -1.60889610E-01
   1.40805632E-02  4.62085876E-01 -1.61003707E-01
   1.41205648E-02  4.61431385E-01 -1.61116452E-01
   1.41605664E-02  4.60770489E-01 -1.61227850E-01
   1.42005680E-02  4.60103216E-01 -1.61337902E-01
   1.42405696E-02  4.59429594E-01 -1.61446613E-01
   1.42805712E-02  4.58749649E-01 -1.61553986E-01
   1.43205728E-02  4.58063410E-01 -1.61660024E-01
   1.43605744E-02  4.57370903E-01 -1.61764731E-01
   1.44005760E-02  4.56672156E-01 -1.61868108E-01
   1.44405776E-02  4.55967195E-01 -1.61970161E-01
   1.44805792E-02  4.55256048E-01 -1.62070892E-01
   1.45205808E-02  4.54538742E-01 -1.62170303E-01
   1.45605824E-02  4.53815304E-01 -1.62268400E-01
   1.46005840E-02  4.53085760E-01 -1.62365184E-01
   1.46405856E-02  4.52350138E-01 -1.62460659E-01
   1.46805872E-02  4.51608464E-01 -1.62554828E-01
   1.47205888E-02  4.50860764E-01 -1.62647694E-01
   1.47605904E-02  4.50107066E-01 -1.62739261E-01
   1.48005920E-02  4.49347396E-01 -1.62829531E-01
   1.48405936E-02  4.48581780E-01 -1.62918509E-01
   1.48805952E-02  4.47810244E-01 -1.63006196E-01
   1.49205968E-02  4.47032816E-01 -1.63092596E-01
   1.49605984E-02  4.46249521E-01 -1.63177713E-01
   1.50006000E-02  4.45460386E-01 -1.63261549E-01
   1.50406016E-02  4.44665436E-01 -1.63344108E-01
   1.50806032E-02  4.43864698E-01 -1.63425393E-01
   1.51206048E-02  4.43058197E-01 -1.63505406E-01
   1.51606064E-02  4.42245960E-01 -1.63584151E-01
   1.52006080E-02  4.41428013E-01 -1.63661632E-01
   1.52406096E-02  4.40604381E-01 -1.63737851E-01
   1.52806112E-02  4.39775090E-01 -1.63812810E-01
   1.53206128E-02  4.38940166E-01 -1.63886515E-01
   1.53606144E-02  4.38099634E-01 -1.63958967E-01
   1.54006160E-02  4.37253520E-01 -1.64030169E-01
   1.54406176E-02  4.36401849E-01 -1.64100125E-01
   1.54806192E-02  4.35544648E-01 -1.64168838E-01
   1.55206208E-02  4.34681940E-01 -1.64236310E-01
   1.55606224E-02  4.33813752E-01 -1.64302546E-01
   1.56006240E-02  4.32940109E-01 -1.64367547E-01
   1.56406256E-02  4.32061036E-01 -1.64431317E-01
   1.56806272E-02  4.31176558E-01 -1.64493859E-01
   1.57206288E-02  4.30286700E-01 -1.64555176E-01
   1.57606304E-02  4.29391488E-01 -1.64615271E-01
   1.58006320E-02  4.28490945E-01 -1.64674147E-01
   1.58406336E-02  4.27585098E-01 -1.64731808E-01
   1.58806352E-02  4.26673970E-01 -1.64788255E-01
   1.59206368E-02  4.25757587E-01 -1.64843492E-01
   1.59606384E-02  4.24835973E-01 -1.64897523E-01
   1.60006400E-02  4.23909153E-01 -1.64950349E-01
   1.60406416E-02  4.22977152E-01 -1.65001975E-01
   1.60806432E-02  4.22039993E-01 -1.65052403E-01
   1.61206448E-02  4.21097702E-01 -1.65101635E-01
   1.61606464E-02  4.20150304E-01 -1.65149676E-01
   1.62006480E-02  4.19197821E-01 -1.65196527E-01
   1.62406496E-02  4.18240279E-01 -1.65242193E-01
   1.62806512E-02  4.17277701E-01 -1.65286675E-01
   1.63206528E-02  4.16310113E-01 -1.65329977E-01
   1.63606544E-02  4.15337538E-01 -1.65372102E-01
   1.64006560E-02  4.14360000E-01 -1.65413052E-01
   1.64406576E-02  4.13377522E-01 -1.65452831E-01
   1.64806592E-02  4.12390130E-01 -1.65491442E-01
   1.65206608E-02  4.11397847E-01 -1.65528886E-01
   1.65606624E-02  4.10400697E-01 -1.65565169E-01
   1.66006640E-02  4.09398703E-01 -1.65600291E-01
   1.66406656E-02  4.08391890E-01 -1.65634257E-01
   1.66806672E-02  4.07380280E-01 -1.65667069E-01
   1.67206688E-02  4.06363898E-01 -1.65698729E-01
   1.67606704E-02  4.05342767E-01 -1.65729242E-01
   1.68006720E-02  4.04316911E-01 -1.65758609E-01
   1.68406736E-02  4.03286352E-01 -1.65786834E-01
   1.68806752E-02  4.02251115E-01 -1.65813919E-01
   1.69206768E-02  4.01211223E-01 -1.65839867E-01
   1.69606784E-02  4.00166698E-01 -1.65864682E-01
   1.70006800E-02  3.99117565E-01 -1.65888366E-01
   1.70406816E-02  3.98063846E-01 -1.65910921E-01
   1.70806832E-02  3.97005564E-01 -1.65932352E-01
   1.71206848E-02  3.95942743E-01 -1.65952659E-01
   1.71606864E-02  3.94875405E-01 -1.65971848E-01
   1.72006880E-02  3.93803573E-01 -1.65989919E-01
   1.72406896E-02  3.92727271E-01 -1.66006876E-01
   1.72806912E-02  3.91646521E-01 -1.66022723E-01
   1.73206928E-02  3.90561346E-01 -1.66037461E-01
   1.73606944E-02  3.89471768E-01 -1.66051093E-01
   1.74006960E-02  3.88377810E-01 -1.66063622E-01
